35,16
36,15
65,6
71,1
73,0
76,5
86,9
96,5
98,11
99,0
103,5
111,1
113,12
114,7
118,1
124,9
126,8
128,7
133,5
161,9
171,5
185,17
187,12
199,5
201,5
203,5
205,9
223,6
224,5
226,8
227,7
229,6
231,8
246,9
251,1
253,8
269,9
303,9
305,1
329,16
344,5
355,1
366,16
387,5
395,9
403,12
405,9
417,7
418,9
420,9
430,5
434,7
447,5
506,5
508,5
522,17
535,6
538,8
563,5
569,6
578,9
581,1
584,6
593,3
604,9
626,9
660,7
661,5
671,9
675,9
681,0
692,9
694,7
730,5
737,1
746,9
750,5
765,1
786,11
800,0
802,7
831,9
845,7
848,7
853,3
858,9
868,9
877,7
885,9
896,14
901,1
934,5
954,9
958,6
968,8
975,1
984,7
985,6
988,12
995,5
1002,5
1014,0
1021,9
1027,6
1037,9
1047,9
1057,9
1071,1
1085,5
1094,6
1097,0
1100,11
1103,16
1106,8
1113,1
1124,12
1134,5
1141,9
1142,11
1154,5
1158,3
1162,1
1166,4
1183,5
1211,8
1251,5
1254,9
1267,9
1273,8
1287,1
1295,18
1322,9
1335,5
1344,9
1350,7
1372,9
1379,9
1389,5
1393,1
1396,1
1410,5
1423,11
1424,1
1437,8
1440,9
1455,8
1459,12
1494,7
1535,17
1549,15
1552,11
1555,1
1560,5
1563,0
1588,5
1591,11
1592,9
1609,7
1640,9
1642,8
1667,8
1670,1
1685,11
1712,5
1721,8
1722,7
1725,17
1730,5
1735,7
1743,7
1745,5
1787,5
1791,9
1795,7
1799,6
1809,9
1810,16
1814,14
1815,1
1828,17
1829,9
1831,1
1837,7
1839,5
1853,1
1866,1
1876,0
1877,5
1892,6
1893,5
1903,5
1922,12
1931,9
1939,18
1955,0
1957,7
1984,11
1993,9
2004,6
2007,5
2013,0
2026,5
2041,1
2042,1
2065,9
2073,7
2094,9
2099,5
2103,3
2111,3
2119,17
2120,16
2122,5
2127,17
2134,9
2137,1
2142,7
2167,7
2183,5
2185,1
2200,1
2205,4
2215,5
2217,3
2224,5
2238,7
2239,4
2246,1
2247,17
2251,12
2258,0
2293,3
2295,17
2303,5
2324,7
2331,11
2342,7
2350,1
2352,1
2355,8
2370,5
2379,9
2381,9
2382,1
2386,5
2400,9
2416,9
2421,11
2426,5
2428,9
2446,1
2449,18
2452,5
2459,5
2464,16
2480,11
2481,0
2488,5
2500,1
2509,1
2522,1
2530,6
2531,9
2533,4
2537,5
2547,16
2560,9
2596,12
2600,1
2625,6
2627,7
2637,7
2638,12
2645,17
2651,9
2653,7
2657,6
2658,9
2666,16
2679,16
2685,8
2703,11
2724,4
2737,16
2758,1
2759,12
2772,5
2775,7
2788,6
2789,0
2800,18
2810,0
2812,4
2831,8
2837,5
2839,6
2841,8
2846,5
2874,7
2884,5
2902,1
2909,8
2915,8
2932,6
2936,1
2945,5
2978,4
2981,5
2983,7
3018,7
3026,7
3038,17
3046,7
3047,1
3060,9
3063,16
3073,9
3082,6
3083,0
3088,16
3090,7
3100,9
3113,9
3114,1
3130,17
3135,7
3138,8
3150,17
3162,11
3168,7
3190,0
3201,5
3203,8
3205,8
3207,4
3214,1
3256,9
3258,9
3269,8
3288,0
3302,5
3304,5
3310,1
3341,9
3371,9
3374,9
3409,16
3426,3
3429,1
3446,9
3458,9
3471,7
3472,11
3478,5
3492,1
3510,9
3517,1
3519,1
3553,5
3568,5
3576,11
3578,9
3604,5
3606,5
3609,7
3615,9
3624,1
3635,18
3640,1
3641,7
3649,1
3675,1
3676,1
3677,7
3678,8
3681,1
3696,18
3720,8
3722,5
3737,7
3752,9
